Reactant SMILES,Metal
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
CON(C)C(=O)/C=C(\C)c1ccccc1,Ir
